YeshuvName,MunicipalName,total
לא רשום , ,37422
שחר ,מועצה אזורית לכיש ,744
תירוש ,מועצה אזורית מטה יהודה ,426
"ניר ח""ן ",מועצה אזורית לכיש ,623
חצבה ,מועצה אזורית הערבה התיכונה ,822
נועם ,מועצה אזורית שפיר ,456
בית ניר ,מועצה אזורית יואב ,740
שדה משה ,מועצה אזורית לכיש ,642
באר אורה ,מועצה אזורית חבל אילות ,1301
מקווה ישראל , ,190
אמציה ,מועצה אזורית לכיש ,209
מועצה אזורית לכיש ,מועצה אזורית לכיש ,881
ראש פינה , ,3463
שדות מיכה ,מועצה אזורית מטה יהודה ,359
מזכרת בתיה , ,17448
יסוד המעלה , ,1823
אופקים , ,43283
עוצם ,מועצה אזורית לכיש ,694
בת שלמה ,מועצה אזורית חוף הכרמל ,647
גדות ,מועצה אזורית הגליל העליון ,573
שדה דוד ,מועצה אזורית לכיש ,719
איתן ,מועצה אזורית שפיר ,816
גפן ,מועצה אזורית מטה יהודה ,406
אליכין , ,3717
מטולה , ,2268
זוהר ,מועצה אזורית לכיש ,347
יבנאל , ,4979
כפר תבור , ,4909
מנחמיה ,מועצה אזורית עמק המעיינות ,1293
אילניה ,מועצה אזורית הגליל התחתון ,599
לוזית ,מועצה אזורית מטה יהודה ,917
עתלית ,מועצה אזורית חוף הכרמל ,12125
נוגה ,מועצה אזורית לכיש ,583
כנרת )קבוצה( ,מועצה אזורית עמק הירדן ,912
מצפה ,מועצה אזורית הגליל התחתון ,142
נחושה ,מועצה אזורית מטה יהודה ,1505
דגניה א' ,מועצה אזורית עמק הירדן ,721
כנרת )מושבה( ,מועצה אזורית עמק הירדן ,704
"יד רמב""ם ",מועצה אזורית גזר ,1240
מגדל , ,2260
מרחביה )קיבוץ( ,מועצה אזורית עמק יזרעאל ,1466
אור הנר ,מועצה אזורית שער הנגב ,1140
ניר עוז ,מועצה אזורית אשכול ,421
אשדוד , ,260968
אשבול ,מועצה אזורית מרחבים ,717
גן שמואל ,מועצה אזורית מנשה ,1269
עין הוד ,מועצה אזורית חוף הכרמל ,695
כפר גלעדי ,מועצה אזורית הגליל העליון ,829
איילת השחר ,מועצה אזורית הגליל העליון ,1164
קרית ענבים ,מועצה אזורית מטה יהודה ,507
